Team,Class,League,MLB Affiliation,State
GCL Twins,Rookie,Gulf Coast,MIN,FL, 
GCL Yankees East,Rookie,Gulf Coast,NYY,FL, 
GCL Yankees West,Rookie,Gulf Coast,NYY,FL, 
Generales de Durango,Triple-A,Mexican, ,MX, 
Guerreros de Oaxaca,Triple-A,Mexican, ,MX, 
Leones de Yucatan,Triple-A,Mexican, ,MX, 
Olmecas de Tabasco,Triple-A,Mexican, ,MX, 
Pericos de Puebla,Triple-A,Mexican, ,MX, 
Piratas de Campeche,Triple-A,Mexican, ,MX, 
Rieleros de Aguascalientes,Triple-A,Mexican, ,MX, 
Saraperos de Saltillo,Triple-A,Mexican, ,MX, 
Sultanes de Monterrey,Triple-A,Mexican, ,MX, 
Tecolotes de los Dos Laredos,Triple-A,Mexican, ,MX, 
Tigres de Quintana Roo,Triple-A,Mexican, ,MX, 
Toros de Tijuana,Triple-A,Mexican, ,MX, 
Complex and Non-Domestic Leagues


Read more: http://www.milb.com/milb/info/teams.jsp#ixzz5WlGFe0jq
